id,S,V,O,sentence
1653,he,was denied,his cut of the Disney,"Katzenberg , for example , is feuding with former employer Disney , which he sued for $ 250 million , claiming he was denied his cut of the Disney animated films he helped make ."
1757,he,was denied,his cut of the Disney animated films,"Katzenberg , for example , is feuding with former employer Disney , which he sued for $ 250 million , claiming he was denied his cut of the Disney animated films he helped make ."
634,"1,200-degree air",is pumped back to,the turbine blades,"So , 1,200-degree air is pumped back to the turbine blades from the compressor in order to cool the blades ."
1377,"1,200-degree air",is pumped to,the turbine blades,"So , 1,200-degree air is pumped back to the turbine blades from the compressor in order to cool the blades ."
1742,`` Presidio Med ' ',fills,the time,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia ."
1437,it,'s,time,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia ."
503,it,may be that,it,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia ."
635,it,may be,a sign,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia ."
2283,`` Presidio Med,fills the time between,those scenes,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia ."
384,NYT News Service,fills,the time,"NYT News Service And when `` Presidio Med '' fills the time between those scenes with even more stock situations , it may be a sign that it 's time for a moratorium on medical dramas , if not for complete euthanasia ."
825,M2+CDs,rose,3.0 percent,M2+CDs rose 3.0 percent in the April-June period .
1327,M2+CDs,rose 3.0 percent in,the April-June period,M2+CDs rose 3.0 percent in the April-June period .
2112,M2 + CDs,rose,3.0 percent,M2+CDs rose 3.0 percent in the April-June period .
1642,18 to 64,rose,a half percentage point,"But the poverty rate for people 18 to 64 rose a half percentage point , to 10.1 percent ."
2310,the poverty rate,rose,a half percentage point,"But the poverty rate for people 18 to 64 rose a half percentage point , to 10.1 percent ."
1127,18 to 64,rose,10.1 percent,"But the poverty rate for people 18 to 64 rose a half percentage point , to 10.1 percent ."
2446,many,were,a matter,"BSA seized items from SM Summit in a raid on Aug. 12 and 13 . c.2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano , who sponsored the law , said many of the problems were simply a matter of getting the new system up and running ."
1865,c. 2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano,said,a matter,"BSA seized items from SM Summit in a raid on Aug. 12 and 13 . c.2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano , who sponsored the law , said many of the problems were simply a matter of getting the new system up and running ."
918,c. 2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano,sponsored,the law,"BSA seized items from SM Summit in a raid on Aug. 12 and 13 . c.2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano , who sponsored the law , said many of the problems were simply a matter of getting the new system up and running ."
2218,many,were matter of getting,the new system,"BSA seized items from SM Summit in a raid on Aug. 12 and 13 . c.2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano , who sponsored the law , said many of the problems were simply a matter of getting the new system up and running ."
1000,BSA,seized items from,SM Summit,"BSA seized items from SM Summit in a raid on Aug. 12 and 13 . c.2002 SAN FRANCISCO CHRONICLE City Supervisor Tom Ammiano , who sponsored the law , said many of the problems were simply a matter of getting the new system up and running ."
1004,everyone,reverted to,their traditional duties,"After a few minutes and some lighthearted chuckles , normalcy prevailed and everyone reverted to their traditional duties ."
2206,normalcy,reverted to,their traditional duties,"After a few minutes and some lighthearted chuckles , normalcy prevailed and everyone reverted to their traditional duties ."
1152,some lighthearted chuckles,prevailed and,everyone,"After a few minutes and some lighthearted chuckles , normalcy prevailed and everyone reverted to their traditional duties ."
413,normalcy,prevailed and,everyone,"After a few minutes and some lighthearted chuckles , normalcy prevailed and everyone reverted to their traditional duties ."
1266,the Alden Trust,controlled by,the firm,"Together , the Alden Trust and the other foundations controlled by the firm have contributed $ 1.7 million to Clark in the last five years ."
2409,the other foundations,controlled by,the firm,"Together , the Alden Trust and the other foundations controlled by the firm have contributed $ 1.7 million to Clark in the last five years ."
1081,the Alden Trust,have contributed,$ 1.7 million,"Together , the Alden Trust and the other foundations controlled by the firm have contributed $ 1.7 million to Clark in the last five years ."
1608,the other foundations,have contributed,$ 1.7 million,"Together , the Alden Trust and the other foundations controlled by the firm have contributed $ 1.7 million to Clark in the last five years ."
1503,the other foundations,have contributed to,Clark,"Together , the Alden Trust and the other foundations controlled by the firm have contributed $ 1.7 million to Clark in the last five years ."
1170,elegant souls,who consider,such journalism,Of course there are elegant souls who consider such journalism beneath their attention .
1983,elegant souls,consider such journalism beneath,their attention,Of course there are elegant souls who consider such journalism beneath their attention .
2165,elegant souls,consider,such journalism,Of course there are elegant souls who consider such journalism beneath their attention .
2138,elegant souls,who consider journalism beneath,their attention,Of course there are elegant souls who consider such journalism beneath their attention .
759,the blend,is weighted toward,expedience,Some think the blend is more weighted toward expedience .
1446,the blend,is more weighted toward,expedience,Some think the blend is more weighted toward expedience .
2373,the,blend weighted toward,expedience,Some think the blend is more weighted toward expedience .
839,Some,think,the blend,Some think the blend is more weighted toward expedience .
62,Trucking companies,have finally rebounded after,years of laggard performance,"Trucking companies , meanwhile , have finally rebounded after years of laggard performance relative to the rest of the U.S. stock market ."
1007,Trucking companies,have rebounded after,years of laggard performance,"Trucking companies , meanwhile , have finally rebounded after years of laggard performance relative to the rest of the U.S. stock market ."
863,you,please call,Susie McBee,"If you have questions , please call Susie McBee or Tim Spence at 202-298-6920 ."
185,questions,please call,Susie McBee,"If you have questions , please call Susie McBee or Tim Spence at 202-298-6920 ."
429,questions,please call,Tim Spence,"If you have questions , please call Susie McBee or Tim Spence at 202-298-6920 ."
849,you,have please,Tim Spence,"If you have questions , please call Susie McBee or Tim Spence at 202-298-6920 ."
1940,you,have please,call Susie McBee,"If you have questions , please call Susie McBee or Tim Spence at 202-298-6920 ."
2049,caulking,be done at,the time of the reglazing or after,"Should caulking be done at the time of the reglazing or after , at a cost of $ 70 ? JUDY FRIEDMAN , West Roxbury ENDIT We must continue to lead by example ."
947,We,must continue to lead by,example,"Should caulking be done at the time of the reglazing or after , at a cost of $ 70 ? JUDY FRIEDMAN , West Roxbury ENDIT We must continue to lead by example ."
1857,West Roxbury ENDIT,must continue to lead by,example,"Should caulking be done at the time of the reglazing or after , at a cost of $ 70 ? JUDY FRIEDMAN , West Roxbury ENDIT We must continue to lead by example ."
1346,His legislation,would allow savings for,expenses,"His legislation would allow tax-free savings for expenses , including tuition , for any school , public , private or religious ."
1704,His legislation,would allow,tax-free savings,"His legislation would allow tax-free savings for expenses , including tuition , for any school , public , private or religious ."
1593,His legislation,would allow tax-free savings,"public , private or religious","His legislation would allow tax-free savings for expenses , including tuition , for any school , public , private or religious ."
906,Bullion,rose as,the U.S. dollar,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
2140,Bullion,fell against,the German mark,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
362,the German mark,cheaper for,investors,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
2419,investors,to buy,analysts,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
1457,investors,using,other major currencies,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
1407,the U.S. dollar,fell against,the yen,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
2320,the German mark,making,it,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
549,other major currencies,to buy,the precious metal,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
1272,investors,using to buy,the precious metal,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
1847,other major currencies,to buy,analysts,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
2148,Bullion,rose fell against,the yen,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
758,it,cheaper for,investors,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
528,it,using,other major currencies,"Bullion rose as the U.S. dollar fell against the yen and the German mark , making it cheaper for investors using other major currencies to buy the precious metal , analysts said ."
15,Solutia,is saddled with,$ 1 billion,Solutia is saddled with $ 1 billion in debt and even more than that in retiree medical costs and environmental liabilities .
2410,Solutia,is saddled with in,debt,Solutia is saddled with $ 1 billion in debt and even more than that in retiree medical costs and environmental liabilities .
1874,the two situations,offer,reason,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
347,Kroger Co.,offer,reason,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
2195,reason,involve,Kroger stores,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1424,Both strikes,involve stores and,United Food and Commercial Workers employees,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1927,"3,300 union employees",offer,reason,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1199,both,have been mediated by,federal officials,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1688,Both strikes,involve,Kroger stores,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1522,Both strikes,involve,both disputes center,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1674,reason,involve,United Food and Commercial Workers employees,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
2084,reason,to hope,Both strikes,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1623,A grocery store strike,offer,reason,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1987,Both strikes,involve,United Food and Commercial Workers employees,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
1265,both disputes center,began in,early October,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
2065,reason,involve,both disputes center,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
2181,both,began in,early October,"A grocery store strike between Ralphs ' parent company , Kroger Co. , and 3,300 union employees in Wms T$ Virginia , Ohio and Kentucky ities between the two situations offer reason to hope : Both strikes involve Kroger stores and United Food and Commercial Workers employees , both disputes center on health care plans , both began in early October , and both have been mediated by federal officials ."
951,Those three,were apprehended,Sunday,Those three were apprehended Sunday .
350,he,are usually,those,"The most unpopular agencies , he noted , are usually those charged with solving the most unsolvable problems ."
302,he,are usually those charged with solving,the most unsolvable problems,"The most unpopular agencies , he noted , are usually those charged with solving the most unsolvable problems ."
254,The most unpopular agencies,are,those,"The most unpopular agencies , he noted , are usually those charged with solving the most unsolvable problems ."
2285,he,noted,those,"The most unpopular agencies , he noted , are usually those charged with solving the most unsolvable problems ."
186,3 cups vegetables,chopped,medium fine,There should be about 3 cups vegetables chopped medium fine .
1793,Crouching Tiger,is set to debut in,June,"The movie , a $ 120 million change of pace for arty `` Crouching Tiger , Hidden Dragon '' director Ang Lee , is set to debut in June ."
1508,his current contract years,may not sign another extension with,the Nets,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
1866,another extension,before becoming,a free agent,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
1724,another extension,with Nets before becoming,a free agent,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
2133,"Kidd , 29",extended,his current contract,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
716,his current contract years,ago and may not sign,another extension,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
651,"Kidd , 29 , the team 's star point guard",extended,his current contract years,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
681,"Kidd , 29",extended ago,years,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
1281,"Kidd , 29",extended,his current contract years,"Kidd , 29 , the team 's star point guard , extended his current contract years ago and may not sign another extension with the Nets before becoming a free agent on July 1 ."
701,U.S. stocks,were mixed showed,unexpected strength,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
966,hopes,could boost,shares,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
487,U.S. stocks,were mixed after,a report,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
1268,unexpected strength,squelching,hopes,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
869,a report,showed,unexpected strength,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
404,a bond market rally,could boost,shares,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
1501,hopes,for could boost,shares,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
1039,a report,showed squelching,hopes,"U.S. stocks were mixed after a report on durable goods showed unexpected strength , squelching hopes for a bond market rally that could boost shares ."
240,export growth,has forced,economic growth expectations,Slowing corporate profits and weakening export growth has also forced economic growth expectations lower .
1455,corporate profits,has forced,economic growth expectations,Slowing corporate profits and weakening export growth has also forced economic growth expectations lower .
1792,corporate profits,and weakening,export growth,Slowing corporate profits and weakening export growth has also forced economic growth expectations lower .
1571,export growth,has also forced,economic growth expectations,Slowing corporate profits and weakening export growth has also forced economic growth expectations lower .
1125,corporate profits,and weakening growth has also forced,economic growth expectations,Slowing corporate profits and weakening export growth has also forced economic growth expectations lower .
500,several days,huddled in,negotiations,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
1212,several days,huddled,managing editor of Institutional Investor 's Americas edition,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
2357,several days,week huddled in,negotiations,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
660,they,named to replace,Cudaback,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
1977,Euromoney 's executives,huddled,managing editor of Institutional Investor 's Americas edition,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
1550,managing editor of Institutional Investor 's Americas edition,named,editor,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
30,Euromoney 's executives,spent,this week,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
576,Euromoney 's executives,spent days,this week,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
583,they,named,editor,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
2125,this week,huddled,managing editor of Institutional Investor 's Americas edition,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
2420,this week,huddled in,negotiations,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
734,they,named editor to replace,Cudaback,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
460,editor,to replace,Cudaback,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
870,Euromoney 's executives,spent,several days,"Euromoney 's executives spent several days this week huddled in negotiations with Robert Teitelman , managing editor of Institutional Investor 's Americas edition , whom they named editor to replace Cudaback ."
324,Ms. Denis 's gift,is to integrate,the characters,Ms. Denis 's gift is to integrate the characters so fully in their milieu that they emerge from it almost insensibly .
637,they,emerge from,it,Ms. Denis 's gift is to integrate the characters so fully in their milieu that they emerge from it almost insensibly .
1559,Ms. Denis 's gift,is to integrate the characters so fully in,their milieu,Ms. Denis 's gift is to integrate the characters so fully in their milieu that they emerge from it almost insensibly .
1592,The board of directors of UAL,is likely to name,Glenn F. Tilton,"The board of directors of UAL , the parent company of United Airlines , is likely to name Glenn F. Tilton , an oil industry executive , as the airline 's new president and chief executive in a meeting Monday morning , according to people with knowledge of the situation ."
1801,The board of directors of UAL,the parent company of United Airlines is likely to name,"Glenn F. Tilton , an oil industry executive","The board of directors of UAL , the parent company of United Airlines , is likely to name Glenn F. Tilton , an oil industry executive , as the airline 's new president and chief executive in a meeting Monday morning , according to people with knowledge of the situation ."
1992,the parent company of United Airlines,is likely to name,"Glenn F. Tilton , an oil industry executive","The board of directors of UAL , the parent company of United Airlines , is likely to name Glenn F. Tilton , an oil industry executive , as the airline 's new president and chief executive in a meeting Monday morning , according to people with knowledge of the situation ."
1924,Dell stock,fell,2 1/16,Dell stock fell 2 1/16 to 87 1/8 Friday .
330,Dell stock,fell 16 to,87 1 / 8 Friday,Dell stock fell 2 1/16 to 87 1/8 Friday .
2466,Dell stock,fell,87 1 / 8 Friday,Dell stock fell 2 1/16 to 87 1/8 Friday .
1911,Dell stock,fell,2 1 /,Dell stock fell 2 1/16 to 87 1/8 Friday .
397,It,will also increase taxes on,other goods,"It will also increase luxury taxes on other goods `` that are not essential for development , '' in order to lower non-productive imports ."
2268,that,are not essential for,development,"It will also increase luxury taxes on other goods `` that are not essential for development , '' in order to lower non-productive imports ."
904,Jim Suydam,writes for,the Austin American-Statesman,Jim Suydam writes for the Austin American-Statesman .
317,they,accept,the responsibility,"As for Miller and Oswalt , they accept the responsibility without blinking ."
876,he,bunked had worked for,a stagehand,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
932,Steers,did a year at,Hotchkiss,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
1973,he,bunked with,he,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
831,he,had worked,a stagehand,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
2350,he,had worked for as,the previous summer,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
2072,he,had worked for,a stagehand,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
1751,I,says,Steers,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
2353,New York,bunked with,members of a dance company,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
134,he,had worked,the previous summer,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
1352,Steers,who did,a year,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
1119,Steers,did,an Indiana military school,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
267,he,bunked with,members of a dance company,"For Use By Clients of the New York Times News Service `` I was pretty obnoxious , '' says Steers , who did a year at Hotchkiss and another at an Indiana military school before running away to New York , where he bunked with members of a dance company he had worked for as a stagehand the previous summer on Martha 's Vineyard ."
1552,Service Manufacturers ' orders,will be stronger than,the 9.1 percent growth,"For clients of the New York Times News Service Manufacturers ' orders will likely be stronger than the 9.1 percent growth for the July-September quarter the EPA originally forecast , the government said ."
1720,the EPA,originally forecast,the government,"For clients of the New York Times News Service Manufacturers ' orders will likely be stronger than the 9.1 percent growth for the July-September quarter the EPA originally forecast , the government said ."
326,clients of the New York Times News Service Manufacturers ' orders,will likely be stronger than,the 9.1 percent growth,"For clients of the New York Times News Service Manufacturers ' orders will likely be stronger than the 9.1 percent growth for the July-September quarter the EPA originally forecast , the government said ."
1551,the victims ' families,are grappling with how,the site,"Politicians , historians , locals and the victims ' families are grappling with how the site should be preserved ."
479,she,shed became,the sleekly beautiful and charismatic musical actress of legend,Then with sheer determination she shed 70 pounds and became the sleekly beautiful and charismatic musical actress of legend .
2146,she,shed,70 pounds,Then with sheer determination she shed 70 pounds and became the sleekly beautiful and charismatic musical actress of legend .
2116,she,shed pounds and became,the sleekly beautiful and charismatic musical actress of legend,Then with sheer determination she shed 70 pounds and became the sleekly beautiful and charismatic musical actress of legend .
1409,70 pounds,and became,the sleekly beautiful and charismatic musical actress of legend,Then with sheer determination she shed 70 pounds and became the sleekly beautiful and charismatic musical actress of legend .
1105,she,became,the sleekly beautiful and charismatic musical actress of legend,Then with sheer determination she shed 70 pounds and became the sleekly beautiful and charismatic musical actress of legend .
1207,she,entered,the conservatory,"Born in New York City to Greek parents , she returned with her mother to Greece at 14 and entered the conservatory in Athens ."
1076,Greece,entered,the conservatory,"Born in New York City to Greek parents , she returned with her mother to Greece at 14 and entered the conservatory in Athens ."
161,Greece,entered the conservatory in,Athens,"Born in New York City to Greek parents , she returned with her mother to Greece at 14 and entered the conservatory in Athens ."
2265,she,returned with mother to,Greece,"Born in New York City to Greek parents , she returned with her mother to Greece at 14 and entered the conservatory in Athens ."
150,she,returned with,her mother,"Born in New York City to Greek parents , she returned with her mother to Greece at 14 and entered the conservatory in Athens ."
1178,backers Stars general manager Bob Gainey,was with,increased team incentives,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
163,Gurney,boosts,increased team incentives,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
1502,general manager Bob Gainey,said,he,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
1889,backers Stars general manager Bob Gainey,said,he,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
1374,backers Stars general manager Bob Gainey,said uncomfortable with,increased team incentives,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
504,Gurney,boosts,backers Stars general manager Bob Gainey,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
1495,Gurney,boosts,backers Stars,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
377,he,was uncomfortable with,increased team incentives,Gurney boosts backers Stars general manager Bob Gainey said he was uncomfortable with increased team incentives for one player .
2281,I,am having,my bathtubs,I am having my bathtubs reglazed .
